iter	Passed	Remaining
189	334	1425
190	336	1423
191	337	1421
192	339	1420
193	341	1418
194	343	1417
195	345	1415
196	346	1413
197	348	1412
198	350	1412
199	353	1413
200	355	1413
201	358	1415
202	361	1418
203	363	1420
204	366	1420
205	368	1419
206	370	1419
207	372	1419
208	375	1422
209	378	1423
210	380	1424
211	383	1424
212	385	1425
213	388	1425
214	390	1426
215	393	1427
216	395	1428
217	397	1427
218	400	1427
219	402	1428
220	405	1430
221	408	1432
222	410	1431
223	412	1429
224	414	1427
225	416	1427
226	419	1427
227	423	1434
228	428	1441
229	433	1451
230	440	1466
231	444	1470
232	448	1475
233	460	1507
234	469	1527
235	492	1595
236	500	1612
237	516	1654
238	534	1701
239	556	1761
240	563	1774
241	585	1833
242	604	1884
243	613	1901
244	636	1962
245	642	1969
246	656	2000
247	664	2014
248	673	2031
249	676	2029
250	679	2027
251	683	2028
252	688	2032
253	692	2034
254	696	2036
255	702	2042
256	709	2050
257	713	2053
258	718	2055
259	722	2057
260	726	2056
261	732	2062
262	739	2072
263	750	2092
264	755	2094
265	762	2102
266	768	2109
267	774	2115
268	779	2119
269	782	2116
270	785	2114
271	789	2113
272	794	2116
273	797	2113
274	800	2110
275	803	2107
276	805	2103
277	809	2102
278	812	2099
279	815	2097
280	818	2094
281	821	2091
282	825	2092
283	828	2089
284	831	2086
285	834	2083
286	837	2080
287	840	2078
288	843	2075
289	846	2072
290	849	2069
291	852	2067
292	856	2066
293	859	2063
294	862	2060
295	865	2057
296	868	2055
297	871	2053
298	875	2051
299	877	2048
300	880	2045
301	883	2042
302	886	2038
303	889	2036
304	892	2032
305	894	2028
306	897	2026
307	900	2022
308	903	2019
309	906	2018
310	909	2014
311	912	2012
312	915	2010
313	918	2007
314	922	2004
315	924	2001
316	927	1997
317	929	1994
318	932	1991
319	936	1990
320	939	1987
321	942	1984
322	944	1979
323	947	1976
324	950	1975
325	954	1973
326	958	1972
327	962	1971
328	965	1968
329	968	1967
330	971	1963
331	974	1960
332	976	1956
333	979	1954
334	984	1955
335	988	1953
336	991	1950
337	994	1948
338	1000	1950
339	1003	1947
340	1005	1943
341	1008	1940
342	1011	1937
343	1016	1938
344	1019	1936
345	1024	1936
346	1027	1934
347	1032	1933
348	1035	1931
349	1038	1929
350	1043	1929
351	1048	1929
352	1050	1925
353	1053	1922
354	1056	1920
355	1059	1916
356	1064	1917
357	1067	1914
358	1071	1912
359	1074	1909
360	1077	1907
361	1080	1903
362	1082	1899
363	1085	1897
364	1088	1894
365	1091	1890
366	1095	1888
367	1097	1885
368	1101	1882
369	1103	1879
370	1106	1876
371	1109	1872
372	1112	1869
373	1115	1867
374	1118	1863
375	1121	1860
376	1124	1858
377	1127	1855
378	1130	1851
379	1132	1847
380	1134	1843
381	1137	1840
382	1140	1837
383	1143	1834
384	1146	1831
385	1148	1827
386	1151	1823
387	1154	1820
388	1158	1819
389	1162	1818
390	1166	1817
391	1169	1813
392	1172	1811
393	1175	1808
394	1178	1804
395	1180	1801
396	1183	1796
397	1185	1793
398	1190	1792
399	1193	1789
400	1195	1785
401	1198	1782
402	1200	1778
403	1203	1775
404	1206	1772
405	1209	1769
406	1212	1766
407	1214	1762
408	1217	1759
409	1221	1757
410	1223	1753
411	1226	1750
412	1228	1746
413	1231	1743
414	1234	1739
415	1237	1737
416	1240	1734
417	1242	1730
418	1245	1726
419	1247	1723
420	1250	1720
421	1254	1718
422	1256	1714
423	1259	1710
424	1261	1707
425	1264	1703
426	1267	1701
427	1270	1698
428	1273	1695
429	1276	1692
430	1278	1688
431	1281	1684
432	1284	1681
433	1286	1678
434	1289	1675
435	1292	1672
436	1295	1668
437	1298	1665
438	1301	1662
439	1303	1659
440	1306	1655
441	1308	1651
442	1311	1648
443	1313	1644
444	1316	1642
445	1319	1638
446	1321	1635
447	1324	1631
448	1326	1628
449	1329	1625
450	1333	1623
451	1336	1619
452	1338	1616
453	1340	1612
454	1343	1608
455	1346	1606
456	1349	1603
457	1352	1600
458	1354	1596
459	1356	1592
460	1358	1588
461	1361	1586
462	1365	1583
463	1368	1580
464	1370	1576
465	1372	1573
466	1375	1569
467	1378	1567
468	1381	1564
469	1384	1560
470	1387	1558
471	1390	1555
472	1394	1553
473	1397	1550
474	1400	1548
475	1403	1545
476	1407	1542
477	1410	1540
478	1412	1536
479	1415	1533
480	1417	1529
481	1420	1526
482	1423	1524
483	1427	1521
484	1429	1517
485	1431	1514
486	1434	1511
487	1436	1507
488	1439	1504
489	1442	1501
490	1444	1497
491	1447	1494
492	1449	1491
493	1452	1487
494	1455	1485
495	1460	1483
496	1463	1480
497	1465	1477
498	1468	1473
499	1470	1470
500	1474	1468
501	1477	1465
502	1486	1468
503	1492	1469
504	1496	1467
505	1502	1466
506	1509	1467
507	1513	1465
508	1522	1468
509	1527	1467
510	1532	1466
511	1540	1467
512	1547	1468
513	1555	1470
514	1560	1469
515	1564	1467
516	1568	1465
517	1572	1463
518	1579	1463
519	1586	1464
520	1591	1463
521	1596	1461
522	1599	1458
523	1602	1455
524	1605	1452
525	1608	1449
526	1611	1446
527	1615	1444
528	1619	1441
529	1622	1438
530	1624	1435
531	1627	1431
532	1629	1428
533	1632	1425
534	1635	1421
535	1639	1419
536	1643	1417
537	1647	1414
538	1651	1412
539	1656	1410
540	1662	1410
541	1666	1408
542	1670	1406
543	1673	1402
544	1677	1400
545	1682	1399
546	1685	1395
547	1688	1392
548	1691	1389
549	1695	1386
550	1698	1384
551	1701	1380
552	1703	1377
553	1705	1373
554	1709	1370
555	1712	1367
556	1715	1364
557	1719	1361
558	1722	1358
559	1725	1356
560	1728	1352
561	1731	1349
562	1734	1346
563	1736	1342
564	1739	1339
565	1743	1336
566	1745	1333
567	1748	1329
568	1751	1326
569	1753	1323
570	1756	1320
571	1759	1316
572	1762	1313
573	1765	1309
574	1767	1306
575	1771	1303
576	1774	1301
577	1777	1298
578	1780	1294
579	1783	1291
580	1786	1288
581	1790	1285
582	1793	1282
583	1796	1279
584	1799	1276
585	1801	1273
586	1806	1270
587	1808	1267
588	1811	1264
589	1816	1262
590	1819	1259
591	1822	1256
592	1825	1252
593	1827	1249
594	1830	1245
595	1834	1243
596	1837	1240
597	1840	1237
598	1843	1234
599	1847	1231
600	1851	1229
601	1854	1226
602	1857	1222
603	1859	1219
604	1863	1216
605	1866	1213
606	1869	1210
607	1872	1207
608	1874	1203
609	1877	1200
610	1882	1198
611	1884	1195
612	1887	1191
613	1890	1188
614	1892	1185
615	1896	1182
616	1900	1179
617	1903	1176
618	1906	1173
619	1910	1171
620	1914	1168
621	1918	1165
622	1921	1163
623	1926	1160
624	1928	1157
625	1931	1154
626	1933	1150
627	1936	1147
628	1940	1144
629	1943	1141
630	1946	1138
631	1949	1134
632	1952	1131
633	1955	1128
634	1957	1125
635	1960	1122
636	1963	1118
637	1967	1116
638	1969	1112
639	1972	1109
640	1975	1106
641	1977	1102
642	1981	1100
643	1984	1097
644	1988	1094
645	1992	1091
646	1994	1088
647	1998	1085
648	2000	1082
649	2004	1079
650	2007	1076
651	2010	1073
652	2012	1069
653	2015	1066
654	2017	1062
655	2020	1059
656	2023	1056
657	2026	1053
658	2029	1050
659	2031	1046
660	2034	1043
661	2039	1041
662	2042	1038
663	2045	1035
664	2049	1032
665	2055	1030
666	2058	1027
667	2060	1024
668	2063	1020
669	2066	1017
670	2070	1015
671	2073	1012
672	2076	1008
673	2079	1005
674	2081	1002
675	2086	999
676	2088	996
677	2091	993
678	2094	990
679	2097	987
680	2101	984
681	2103	980
682	2106	977
683	2108	974
684	2111	971
685	2115	968
686	2118	965
687	2120	961
688	2123	958
689	2125	954
690	2128	951
691	2131	948
692	2133	945
693	2136	941
694	2138	938
695	2141	935
696	2144	932
697	2146	928
698	2149	925
699	2151	922
700	2153	918
701	2156	915
702	2159	912
703	2162	909
704	2165	906
705	2167	902
706	2170	899
707	2172	896
708	2175	892
709	2178	889
710	2180	886
711	2183	883
712	2185	879
713	2188	876
714	2191	873
715	2194	870
716	2197	867
717	2200	864
718	2202	860
719	2206	857
720	2210	855
721	2212	852
722	2215	848
723	2218	845
724	2221	842
725	2223	839
726	2226	835
727	2228	832
728	2231	829
729	2233	826
730	2236	822
731	2238	819
732	2241	816
733	2243	813
734	2246	810
735	2248	806
736	2250	803
737	2253	800
738	2256	796
739	2259	793
740	2262	790
741	2264	787
742	2267	784
743	2269	780
744	2272	777
745	2275	774
746	2277	771
747	2280	768
748	2282	764
749	2285	761
750	2289	758
751	2292	755
752	2294	752
753	2297	749
754	2300	746
755	2302	743
756	2306	740
757	2308	737
758	2310	733
759	2313	730
760	2316	727
761	2318	724
762	2321	721
763	2323	717
764	2326	714
765	2328	711
766	2331	708
767	2333	704
768	2336	701
769	2339	698
770	2342	695
771	2345	692
772	2347	689
773	2350	686
774	2352	682
775	2354	679
776	2357	676
777	2359	673
778	2362	670
779	2364	666
780	2366	663
781	2369	660
782	2371	657
783	2373	653
784	2375	650
785	2377	647
786	2380	644
787	2382	641
788	2385	637
789	2387	634
790	2389	631
791	2392	628
792	2394	625
793	2396	621
794	2399	618
795	2402	615
796	2404	612
797	2406	609
798	2408	605
799	2411	602
800	2413	599
801	2415	596
802	2418	593
803	2421	590
804	2423	587
805	2425	583
806	2427	580
807	2430	577
808	2432	574
809	2435	571
810	2438	568
811	2440	565
812	2442	561
813	2444	558
814	2447	555
815	2449	552
816	2451	549
817	2453	545
818	2455	542
819	2457	539
820	2459	536
821	2462	533
822	2464	530
823	2467	527
824	2470	523
825	2472	520
826	2474	517
827	2477	514
828	2479	511
829	2481	508
830	2483	505
831	2486	502
832	2488	498
833	2490	495
834	2492	492
835	2495	489
836	2497	486
837	2500	483
838	2502	480
839	2504	477
840	2506	473
841	2508	470
842	2511	467
843	2513	464
844	2515	461
845	2517	458
846	2519	455
847	2522	452
848	2524	448
849	2526	445
850	2528	442
851	2530	439
852	2532	436
853	2534	433
854	2536	430
855	2539	427
856	2541	424
857	2543	420
858	2545	417
859	2547	414
860	2549	411
861	2551	408
862	2553	405
863	2556	402
864	2558	399
865	2561	396
866	2563	393
867	2565	390
868	2567	387
869	2569	383
870	2571	380
871	2573	377
872	2576	374
873	2578	371
874	2580	368
875	2582	365
876	2584	362
877	2586	359
878	2588	356
879	2591	353
880	2593	350
881	2596	347
882	2598	344
883	2601	341
884	2604	338
885	2606	335
886	2608	332
887	2610	329
888	2612	326
889	2615	323
890	2617	320
891	2621	317
892	2626	314
893	2628	311
894	2630	308
895	2632	305
896	2634	302
897	2637	299
898	2639	296
899	2641	293
900	2643	290
901	2645	287
902	2648	284
903	2650	281
904	2652	278
905	2654	275
906	2656	272
907	2658	269
908	2660	266
909	2662	263
910	2664	260
911	2666	257
912	2669	254
913	2671	251
914	2673	248
915	2675	245
916	2677	242
917	2679	239
918	2681	236
919	2684	233
920	2686	230
921	2688	227
922	2690	224
923	2692	221
924	2694	218
925	2696	215
926	2698	212
927	2700	209
928	2702	206
929	2704	203
930	2706	200
931	2709	197
932	2711	194
933	2713	191
934	2715	188
935	2718	185
936	2720	182
937	2722	179
938	2725	177
939	2727	174
940	2730	171
941	2733	168
942	2736	165
943	2738	162
944	2740	159
945	2743	156
946	2745	153
947	2747	150
948	2749	147
949	2752	144
950	2754	141
951	2756	138
952	2758	136
953	2760	133
954	2762	130
955	2765	127
956	2767	124
957	2770	121
958	2772	118
959	2774	115
960	2777	112
961	2779	109
962	2781	106
963	2784	103
964	2786	101
965	2789	98
966	2791	95
967	2794	92
968	2796	89
969	2799	86
970	2801	83
971	2804	80
972	2806	77
973	2808	74
974	2811	72
975	2814	69
976	2817	66
977	2820	63
978	2823	60
979	2825	57
980	2828	54
981	2831	51
982	2833	49
983	2835	46
984	2838	43
985	2840	40
986	2843	37
987	2846	34
988	2849	31
989	2852	28
990	2856	25
991	2859	23
992	2863	20
993	2866	17
994	2868	14
995	2871	11
996	2874	8
997	2876	5
998	2879	2
999	2881	0
