iter	Logloss
0	0.6915637425
1	0.6900211256
2	0.6885722413
3	0.6874316469
4	0.685570386
5	0.6844392115
6	0.6827481328
7	0.6811420674
8	0.6795718135
9	0.6784151038
10	0.676974861
11	0.6753997803
12	0.674101849
13	0.6729066031
14	0.6715062978
15	0.6706354569
16	0.6696165435
17	0.6679681272
18	0.666953807
19	0.6648620294
20	0.6633503972
21	0.6620778454
22	0.6611794452
23	0.6602119913
24	0.6588140994
25	0.6572247719
26	0.6556201857
27	0.6539865611
28	0.6523154901
29	0.6510272513
30	0.6499485872
31	0.648741508
32	0.6475730429
33	0.6463918102
34	0.6451821619
35	0.6434447619
36	0.6423439104
37	0.6406947545
38	0.6394665776
39	0.6383367655
40	0.6370485656
41	0.6359236581
42	0.6346538699
43	0.6331956824
44	0.6321539587
45	0.630749177
46	0.6295160566
47	0.6277860914
48	0.6269723542
49	0.625773605
50	0.6246355796
51	0.6235784803
52	0.6226447748
53	0.6218206445
54	0.6206289019
55	0.6190618009
56	0.6177178597
57	0.6170499763
58	0.615611524
59	0.6145527898
60	0.6136873596
61	0.6123382413
62	0.6115163686
63	0.6105797437
64	0.6092072312
65	0.6082736424
66	0.6072249899
67	0.606277388
68	0.6052183034
69	0.6039941749
70	0.6027546707
71	0.6022531159
72	0.601288776
73	0.6000370103
74	0.5986405197
75	0.5974673836
76	0.5968937387
77	0.5956833898
78	0.5942874052
79	0.5930387536
80	0.5922438952
81	0.5913909601
82	0.5902013973
83	0.5895620852
84	0.5885546159
85	0.5869176047
86	0.5860473866
87	0.5852081922
88	0.5841387145
89	0.582798082
90	0.5817606011
91	0.5806205905
92	0.5799241358
93	0.5790665296
94	0.578233135
95	0.5772117303
96	0.5764232168
97	0.5757117369
98	0.5749795875
99	0.574193137
100	0.5726368184
101	0.5714503697
102	0.5709242529
103	0.5701128123
104	0.5691658721
105	0.5680813303
106	0.5674146925
107	0.5663797028
108	0.5656199942
109	0.5648376309
110	0.5639765992
111	0.5629365104
112	0.5623065404
113	0.5615408372
114	0.56081694
115	0.5603287366
116	0.559606591
117	0.559128664
118	0.5585678256
119	0.5573784186
120	0.5567336569
121	0.5557835248
122	0.5547370911
123	0.5541450345
124	0.553350254
125	0.5524407212
126	0.5517473026
127	0.551171439
128	0.5505512783
129	0.5495691883
130	0.548866272
131	0.5481705179
132	0.5471477119
133	0.5462584982
134	0.5452219905
135	0.5443580783
136	0.5438934638
137	0.542781207
138	0.5420228219
139	0.5412633468
140	0.5400970615
141	0.5393668973
142	0.5388233418
143	0.5381263811
144	0.5373402031
145	0.5365148272
146	0.5356144029
147	0.5350431325
148	0.5340483529
149	0.5334299827
150	0.5329290118
151	0.5323485939
152	0.5316379703
153	0.5310538156
154	0.5302285953
155	0.5297312445
156	0.5289584569
157	0.5281962959
158	0.5271791731
159	0.5264580396
160	0.5259423548
161	0.5251687498
162	0.5247322394
163	0.5242180727
164	0.5235151953
165	0.5228712121
166	0.5223479758
167	0.5216685315
168	0.5210966772
169	0.520363399
170	0.5196154069
171	0.5186976997
172	0.5179560136
173	0.5175618541
174	0.5167571087
175	0.5159202887
176	0.5152524053
177	0.5143320512
178	0.5138083477
179	0.5131368442
180	0.5124760453
181	0.5116898673
182	0.5111267713
183	0.5106268902
184	0.5101110887
185	0.5097195762
186	0.5091890997
187	0.5088041656
188	0.5083398624
189	0.5079098137
190	0.5072051846
191	0.5064735413
192	0.5059105231
193	0.5051803589
194	0.5043651814
195	0.5037391429
196	0.5032067591
197	0.5024165718
198	0.5019440554
199	0.5016962168
200	0.5008889412
201	0.5002814312
202	0.4995001968
203	0.4986904689
204	0.4983224674
205	0.4978884483
206	0.497389229
207	0.4965771656
208	0.4960021194
209	0.49550399
210	0.4948809098
211	0.4944356802
212	0.4938236548
213	0.4928832541
214	0.4923809207
215	0.4915947428
216	0.4908686268
217	0.4900615459
218	0.4897250351
219	0.4893558658
220	0.4886737746
221	0.4881758398
222	0.487687325
223	0.4872220876
224	0.4867986562
225	0.486139025
226	0.4857465394
227	0.4850395358
228	0.484475817
229	0.4838789337
230	0.4832602131
231	0.482753598
232	0.4823472938
233	0.4819678482
234	0.481563646
235	0.48113422
236	0.4806720578
237	0.4800765368
238	0.4796404157
239	0.4791365254
240	0.4786159749
241	0.47807421
242	0.4776043016
